vnr,frequency,sum
13113,497,0.503983803552769
103200,496,0.504514834609521
21048,495,0.505044795039142
563502,493,0.506100433389862
16395,493,0.506100433389862
4244,491,0.506626111310961
991,490,0.50715071860493
16979,489,0.507674255271768
21394,488,0.508196721311475
92655,487,0.508718116724052
5,486,0.509238441509498
509737,483,0.510789780221662
100479,483,0.510789780221662
24018,483,0.510789780221662
561092,482,0.511821864775511
60805,482,0.511821864775511
513572,481,0.512851808075098
76114,481,0.512851808075098
85092,480,0.513365709097761
166363,477,0.513876398239032
75069,476,0.514386016753173
177360,475,0.515403112527194
390997,475,0.515403112527194
171777,474,0.516418067046953
123509,474,0.516418067046953
43753,473,0.516924473679702
412239,472,0.51793514569094
446930,472,0.51793514569094
174136,470,0.518941535193655
192641,470,0.518941535193655
175976,469,0.519443659317882
493684,468,0.519944712814978
11409,467,0.521444661424876
154591,467,0.521444661424876
138909,467,0.521444661424876
515247,466,0.521943573667711
28498,465,0.522441415283416
101360,463,0.52293711564486
5228,461,0.523924233859225
373522,461,0.523924233859225
394734,460,0.525401699299381
1549,460,0.525401699299381
5565,460,0.525401699299381
455493,459,0.525893117152303
140236,457,0.526382393750963
63339,456,0.526870599722493
575340,454,0.527842729157031
473199,454,0.527842729157031
505404,453,0.528327723247169
159558,452,0.528811646710177
186742,450,0.530738775545163
21967,450,0.530738775545163
574935,450,0.530738775545163
129106,450,0.530738775545163
567008,448,0.531218416499649
10035,447,0.532175557154359
40857,447,0.532175557154359
462036,443,0.532649844973191
513937,442,0.533123062164894
514265,441,0.533595208729465
110635,439,0.534065214039776
19234,438,0.534534148722956
466086,436,0.535000942151875
485128,434,0.535465594326533
175950,433,0.53592917587406
79442,432,0.536854197714853
160439,432,0.536854197714853
545814,430,0.537314567380989
89862,429,0.537773866419994
473272,426,0.539142127892834
21667,426,0.539142127892834
122895,426,0.539142127892834
23168,425,0.539597144423317
488007,424,0.540505036230022
51110,424,0.540505036230022
24281,423,0.540957911506244
42168,422,0.541409716155335
23649,420,0.541859379550165
45387,419,0.543653750620964
388892,419,0.543653750620964
16361,419,0.543653750620964
39805,419,0.543653750620964
119198,418,0.544101272761533
116749,416,0.545437415420457
438770,416,0.545437415420457
409524,416,0.545437415420457
45460,414,0.545880655052503
578807,413,0.54632282405742
176214,412,0.547205020812991
524694,412,0.547205020812991
10002,411,0.548085076314302
511865,411,0.548085076314302
464941,409,0.54896084930709
93435,409,0.54896084930709
76725,408,0.549397665176353
148274,407,0.551576391387019
17266,407,0.551576391387019
159517,407,0.551576391387019
372607,407,0.551576391387019
143119,407,0.551576391387019
33251,406,0.552011066002021
140384,405,0.552878273977765
30163,405,0.552878273977765
197186,404,0.554175874059989
5507,404,0.554175874059989
4480,404,0.554175874059989
20950,403,0.5546073367936
416222,402,0.555468121006561
374348,402,0.555468121006561
451690,401,0.55589744248591
27058,400,0.55632569333813
4293,399,0.556752873563218
595215,398,0.557605092759134
107052,398,0.557605092759134
21492,397,0.55845517070079
16557,397,0.55845517070079
510732,396,0.55972707573188
31963,396,0.55972707573188
594439,396,0.55972707573188
24930,395,0.560572871165013
132290,395,0.560572871165013
147934,394,0.560994698254449
462127,393,0.56183621117906
580092,393,0.56183621117906
38828,392,0.562255897014235
452904,391,0.563093127430323
409425,391,0.563093127430323
84824,390,0.563928216592151
374231,390,0.563928216592151
279,389,0.564344690545934
646,386,0.564757952618326
167840,385,0.56681890984463
18144,385,0.56681890984463
7769,385,0.56681890984463
91751,385,0.56681890984463
49544,385,0.56681890984463
537498,384,0.568052272299022
22440,384,0.568052272299022
29010,384,0.568052272299022
23901,382,0.56927921099063
18022,382,0.56927921099063
520882,382,0.56927921099063
44642,380,0.569686049300238
516021,379,0.570091816982715
74922,377,0.570899069839149
7760,377,0.570899069839149
69105,376,0.572106737242407
89152,376,0.572106737242407
13296,376,0.572106737242407
189233,375,0.572909707590318
490854,375,0.572909707590318
22144,374,0.574110951230793
90662,374,0.574110951230793
12109,374,0.574110951230793
91043,373,0.574510295150487
162149,372,0.574908568443051
500645,370,0.576096964557959
416883,370,0.576096964557959
120931,370,0.576096964557959
18277,369,0.576887087380304
438432,369,0.576887087380304
18227,368,0.578069059732429
76024,368,0.578069059732429
455485,368,0.578069059732429
527523,367,0.57846197988934
490284,366,0.57885382941912
426395,365,0.57963538722442
5155,365,0.57963538722442
386151,364,0.58002509549994
143677,363,0.580413733148329
40287,361,0.580800229542456
56212,359,0.58156893982219
80465,359,0.58156893982219
114447,357,0.581951153707795
529362,356,0.582332296966271
16315,355,0.582712369597615
527390,354,0.583470373606043
51425,354,0.583470373606043
81208,353,0.584604167737293
142364,353,0.584604167737293
409632,353,0.584604167737293
374538,352,0.584981028487246
415174,351,0.585356818610069
48941,350,0.58573153810576
530741,349,0.586105186974322
452920,348,0.586850343457183
530899,348,0.586850343457183
31997,347,0.587221851071483
64378,345,0.587591217431522
406678,344,0.589064400363156
81996,344,0.589064400363156
76115,344,0.589064400363156
38252,344,0.589064400363156
7505,343,0.589431625468934
490805,342,0.589797779947582
527622,339,0.590523665142093
145482,339,0.590523665142093
68188,338,0.590885537112218
21345,337,0.591246338455213
142927,336,0.593044992034534
15312,336,0.593044992034534
