varenr,Frequency,,,
13068,191,,,
453571,190,,,
115364,190,,,
466169,190,,,
419945,190,,,
136481,190,,,
17387,190,,,
494682,190,,,
168971,190,,,
151928,189,,,
436030,189,,,
54309,189,,,
158733,189,,,
529008,189,,,
6789,189,,,
90829,189,,,
373530,189,,,
49395,189,,,
1239,188,,,
438762,188,,,
163493,188,,,
517343,188,,,
512491,187,,,
1194,187,,,
382473,187,,,
167829,187,,,
21975,187,,,
416735,187,,,
108449,187,,,
434852,187,,,
157863,187,,,
496968,187,,,
56122,186,,,
546549,186,,,
378489,186,,,
65286,186,,,
445544,186,,,
74206,186,,,
453589,185,,,
401224,185,,,
39178,185,,,
129319,185,,,
142323,185,,,
65979,185,,,
15948,185,,,
141754,184,,,
453613,184,,,
190751,184,,,
8326,184,,,
557686,184,,,
481534,184,,,
15741,184,,,
85251,184,,,
503847,183,,,
396787,183,,,
56929,183,,,
5536,183,,,
51326,183,,,
12209,183,,,
34498,182,,,
45583,182,,,
509273,182,,,
30528,182,,,
83114,181,,,
81807,181,,,
462432,180,,,
559828,180,,,
119164,180,,,
40050,180,,,
4255,180,,,
167796,179,,,
23878,179,,,
45150,179,,,
485151,179,,,
69587,179,,,
81852,179,,,
29298,179,,,
134019,179,,,
77230,178,,,
5296,178,,,
7985,178,,,
139394,177,,,
74674,177,,,
33623,177,,,
21766,177,,,
557416,177,,,
15765,177,,,
403929,176,,,
490821,176,,,
485904,176,,,
6091,176,,,
38190,176,,,
142059,176,,,
4233,176,,,
3023,176,,,
85094,176,,,
14677,176,,,
441568,175,,,
166864,175,,,
153895,175,,,
7107,175,,,
81870,175,,,
158287,175,,,
99093,175,,,
470385,175,,,
4981,174,,,
452953,174,,,
7008,174,,,
144030,174,,,
16216,174,,,
136684,174,,,
30709,174,,,
505867,174,,,
37358,174,,,
10283,173,,,
129685,173,,,
94323,173,,,
20192,173,,,
567545,173,,,
508952,173,,,
143602,173,,,
193938,173,,,
25587,173,,,
2350,172,,,
1408,172,,,
60912,172,,,
401505,172,,,
100030,172,,,
17326,172,,,
146697,172,,,
77455,172,,,
517953,172,,,
86011,172,,,
5845,172,,,
1115,171,,,
164584,171,,,
162099,171,,,
107821,171,,,
130021,171,,,
194696,171,,,
24209,171,,,
1394,170,,,
418715,170,,,
465252,170,,,
69184,170,,,
19072,170,,,
29177,170,,,
460196,170,,,
21044,169,,,
518241,169,,,
77987,169,,,
25009,169,,,
4586,169,,,
61205,169,,,
114090,168,,,
465450,168,,,
48932,168,,,
84560,168,,,
23971,168,,,
162636,168,,,
452995,168,,,
451682,168,,,
16296,168,,,
